id;cin;cne;nom;prenom;date_naissance;pays;ville;adresse;sexe;email;etablissement_origine;type_diplome;intitule_diplome;mention;diplome_etranger;annee_obtention_licence;annee_obtention_bac;systeme;note_s1;note_s2;note_s3;note_s4;note_s5;note_s6;filiere;annee_inscription;fosuser_id
58;398797;7746478;duahrua;djahura;1999-03-03;436;"Quelque part";"dauhudafa dhau hdau d dauhudafa dhau hdau d dauhudafa dhau hdau d dauhudafa dhau hdau d dauhudafa dhau hdau d dauhudafa dhau hdau d";M;somemail@domain.com;19000007;LF;Custom;Passable;0;2013;2010;LMD;12;13;20;13.5;14;16;"Physique de la matière condensée//Systèmes de protection des métaux : conception et environnement";2012;88
59;12045;648765;hhdauh;dafhuauhaf;1984-05-05;996;Paris;diahufuahfa;F;somemail@domain.com;19000007;LP;auhfuah;Passable;0;2013;2010;LMD;12;13;15;16;17;14;"MASTER SPÉCIALISÉ MÉTIERS D’ENSEIGNEMENT ET DE FORMATION//Informatique";2012;89
60;645645;564564;hdauhra;adfuhau;1989-11-24;350;48;"hdhafaraj arj jraij ar";F;somemail@domain.com;19000007;LF;LGSMI;Passable;0;2013;2010;LMD;11;12;13;15;13;12;"Management qualité, Hygiène, Sécurité et Environnement//Nutrition humaine, Sécurité alimentaire et Management de la qualité//Neurocognition humaine et santé de la population";2012;90
61;hdaudha;123;hduahd;dauhdauh;1961-06-07;350;36;audaudhau;M;aa@abci.com;19000007;LF;LGSMC;"Très bien";0;2014;2011;LMD;14;15;12;11;14;12;"Energies Renouvelables//Electronique embarquée et systèmes de télécommunication//Neurocognition humaine et santé de la population";2012;91
62;a;"PAS DE CNE";a;a;1957-10-05;350;35;a;M;a@q.com;19000007;LF;LGSMC;Passable;0;2014;2011;LMD;11;12;11;11;11;11;"Chimie organique et Environnement";2012;93
63;a;"PAS DE CNE";a;a;1957-11-04;350;37;dada;M;aa@aabc.com;19000007;LF;LGSVI;Passable;0;2014;2011;LMD;10;12;14;13;14;15;"Génie des matériaux et technolgies des céramiques et ciments";2012;94
64;12;"PAS DE CNE";a;a;1958-08-05;350;37;dada;M;a@uu.com;19000007;LF;LGSMI;Passable;0;2014;2013;LMD;12;15;12;13;16;11;"Electronique embarquée et systèmes de télécommunication";2012;95
65;123;"PAS DE CNE";a;a;1957-06-08;350;37;dafa;M;aa@xc.com;19000007;LF;LGSMI;Passable;0;2014;2011;LMD;11;11;11;11;11;11;"Systèmes de protection des métaux : conception et environnement//Energétique - Mécanique des fluides";2012;96
66;d;e;c;b;1957-10-13;350;10;f;M;abcde@sysfiv.com;19000007;LF;LGSMP;Passable;0;2014;2013;LMD;11;12;13;11;11;11;"Sciences et techniques nucléaires//Energétique - Mécanique des fluides";2010;97
67;a;a;a;a;1957-07-04;350;7;a;M;daeae@xada.com;19000007;LF;LGSMI;Passable;0;2014;2011;LMD;11;11;11;11;13;14;"Systèmes de protection des métaux : conception et environnement//Management qualité, Hygiène, Sécurité et Environnement";2012;98
68;x;"PAS DE CNE";d;r;1957-06-06;350;35;dada;M;a123@adcc.com;19000007;LF;LGSMP;Passable;0;2014;2011;Ancien;10;11;12;13;10;10;"Hydroinformatique et Gestion des Hydrosystèmes//Energies Renouvelables";2012;99
69;a;a;Alami;a;2000-07-06;350;41;a;M;123a@gmail.Com;19000007;LF;LGSMA;Passable;0;2014;2011;LMD;10;11;12;13;14;15;"Chimie organique et Environnement";2012;100
70;a;a;a;a;1957-04-02;530;Kenitra;a;M;aaa@xcareax.co;19000007;LF;LGSVI;"Très bien";0;2014;2011;Ancien;12;13;14;15;10;10;"Management qualité, Hygiène, Sécurité et Environnement";2012;101
71;a;a;a;a;1954-09-03;350;20;a;M;aaa@darar.com;19000007;LF;LGSVI;Passable;0;2014;2011;Ancien;14;13;12;11;10;10;"Management qualité, Hygiène, Sécurité et Environnement//Génie des matériaux et technolgies des céramiques et ciments";2012;102
